country,variable,value,estimate_weighted,estimate_weighted_se,estimate_weighted_95ci_low,estimate_weighted_95ci_upp,n_unweighted,question_text,notes
ID,general_connected,Fairly connected,0.5203157598061969,0.014662404448150366,0.49153505216234683,0.5489622486040112,1111,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
ID,general_connected,Very connected,0.2862974218748479,0.013566875162705867,0.2604553335515858,0.3136162167370469,606,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
ID,general_connected,DK/NR,0.009367285086093744,0.0033073865918163818,0.004679540400834752,0.01866294059451097,24,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
IN,general_connected,Not at all connected,0.04688547447732193,0.0059710803826236265,0.036474565765697076,0.0600826622478426,85,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
IN,general_connected,A little connected,0.21343651394564792,0.013017146232189908,0.189027090513069,0.24006490404653616,413,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
IN,general_connected,Fairly connected,0.287611007175746,0.011454051016682305,0.26568795172127946,0.310577924633809,591,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
IN,general_connected,Very connected,0.44957260641819174,0.014061370398913952,0.4221878935328256,0.477266411082002,907,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
IN,general_connected,DK/NR,0.0024943984024061905,0.0020134397140007475,5.115126389242119e-4,0.012071133562427075,4,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
MX,general_connected,Not at all connected,0.07576300497798238,0.007173458932952117,0.0628438226908348,0.09107994323756036,160,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
MX,general_connected,A little connected,0.2743335964531283,0.013360348212584425,0.2489319042580146,0.30128755443565575,570,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
MX,general_connected,Fairly connected,0.32846784910222354,0.01234810619620033,0.3047304721359438,0.35311517797444014,660,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
MX,general_connected,Very connected,0.3181056259765769,0.012749998760469033,0.2936493346115971,0.343607914637744,604,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
MX,general_connected,DK/NR,0.003329923494755445,0.001587910503729367,0.001306019414125426,0.008463638726304665,7,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
US,general_connected,Not at all connected,0.06629544477116797,0.006851689655155493,0.05406222284248542,0.08105959697787742,123,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
US,general_connected,A little connected,0.18432642733357432,0.010445515704959137,0.16472155076382047,0.20569005039000937,344,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
US,general_connected,Fairly connected,0.3562309016465015,0.012244368114760554,0.332603344829216,0.38057978463095016,724,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
US,general_connected,Very connected,0.38781427065786067,0.012527116897237513,0.363558373115298,0.4126392395031047,813,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
US,general_connected,DK/NR,0.005332955591842968,0.0016701496735591682,0.0028837831951712607,0.009841658694724795,12,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
BR,general_supported,Not at all supported,0.051292656184945336,0.005974176540592143,0.04076788267944387,0.06435225703357769,119,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
BR,general_supported,A little supported,0.2902493918304941,0.011015386423132309,0.2691376159583665,0.31230956387929404,581,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
BR,general_supported,Fairly supported,0.32219827317045313,0.011953866305839186,0.29922350363936207,0.34606593938530744,631,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
BR,general_supported,Very supported,0.33365428221050597,0.01208508904518214,0.31039614623906364,0.35775106534286877,662,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
BR,general_supported,DK/NR,0.002605396714180236,0.0010225037909117963,0.0012063259371797202,0.0056179528040401225,7,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
EG,general_supported,Not at all supported,0.04197654508421741,0.0050662375562721745,0.03309424509019476,0.053111851897688335,81,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
EG,general_supported,A little supported,0.12167814112352182,0.00893698951241759,0.10521537011573003,0.14031286882314464,246,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
EG,general_supported,Fairly supported,0.4391791543643554,0.013590846249906871,0.4127345133676799,0.4659737416001812,863,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
EG,general_supported,Very supported,0.39592838958161725,0.01362313405548089,0.369554578167756,0.4229217666274748,809,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
EG,general_supported,DK/NR,0.0012377707765512686,7.436611841694207e-4,3.8092500475048213e-4,0.004014249924110746,3,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
FR,general_supported,Not at all supported,0.07497149226076523,0.007634965242465231,0.06130964668094631,0.09138129164343954,136,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
FR,general_supported,A little supported,0.18682410721758122,0.01078166077459263,0.16660080769829558,0.20888697027345265,383,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
FR,general_supported,Fairly supported,0.45193171585120795,0.013856885546428869,0.424935119952694,0.47921418518837944,914,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
FR,general_supported,Very supported,0.28371752443546794,0.012514330489505229,0.2598361385444837,0.30887787036187847,562,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
FR,general_supported,DK/NR,0.0025551605329352705,0.0012222810033691333,9.99466149086426e-4,0.006516537204136196,5,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
ID,general_supported,Not at all supported,0.041870668422944936,0.0050650984024673855,0.03299271966463402,0.05300661708087226,66,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
ID,general_supported,A little supported,0.10375194872131668,0.0071446907188741984,0.09055749935554422,0.11861811573181703,211,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
ID,general_supported,Fairly supported,0.5387648109183938,0.013800402456797211,0.5116218142626022,0.5656798787336165,1136,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
ID,general_supported,Very supported,0.3058408311518301,0.012232570897471602,0.28239833429412853,0.3303335326331351,641,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
ID,general_supported,DK/NR,0.009771741797052334,0.0029770087601640296,0.005369690918834497,0.017718289495143123,23,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
IN,general_supported,Not at all supported,0.09483859093871824,0.00857825251760799,0.07930389751468238,0.11304272060900966,176,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
IN,general_supported,A little supported,0.1971139486936835,0.012894361735794868,0.17305031132541765,0.22361891642310897,394,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
IN,general_supported,Fairly supported,0.2683986353759701,0.012041631806035792,0.2454577925094782,0.2926519717369546,544,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
IN,general_supported,Very supported,0.4364348633955379,0.01636659485648534,0.4046572416749968,0.4687431504892071,880,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
IN,general_supported,DK/NR,0.0032139625147668245,0.002057382240178185,9.146540178950397e-4,0.011228440220988064,6,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
MX,general_supported,Not at all supported,0.07749725852514627,0.007154956732732321,0.06458222729501162,0.09273895745888591,160,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
MX,general_supported,A little supported,0.17949243285715075,0.010566595988116562,0.15970178407029423,0.20114851374093037,377,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
MX,general_supported,Fairly supported,0.28609806684636946,0.012432904138357192,0.26235793133471363,0.3110804503050948,596,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
MX,general_supported,Very supported,0.45409654711922814,0.014110466679534724,0.4266027929782171,0.4818731304163797,861,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
MX,general_supported,DK/NR,0.002815694665070929,0.0011209932521776217,0.0012892067269666462,0.00613851453203636,7,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
US,general_supported,Not at all supported,0.049410721893423715,0.0058300642284008775,0.03915602624106023,0.06217726189735071,90,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
US,general_supported,A little supported,0.14493048230368494,0.009421303497448913,0.12741941503100318,0.1643946805115906,275,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
US,general_supported,Fairly supported,0.2851132458260314,0.01154969776301454,0.2630205429695365,0.3082853926930385,580,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
US,general_supported,Very supported,0.5153819063504979,0.012917221744914664,0.49004029138552924,0.5406446668197963,1063,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
US,general_supported,DK/NR,0.005163643758011483,0.00225711573612456,0.00218852335946389,0.012134016688778134,8,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",NA
BR,general_lonely,Not at all lonely,0.5330149205919598,0.013505008279099446,0.5064705913921775,0.5593736429452614,1028,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
BR,general_lonely,A little lonely,0.3566068821395371,0.01282073081788804,0.33188530834309327,0.3821167279733694,711,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
BR,general_lonely,Fairly lonely,0.05142447249421694,0.005628501344638933,0.04144511948009567,0.06364715285854051,108,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
BR,general_lonely,Very lonely,0.055969537919657426,0.005603401670092232,0.04594571059085545,0.06802430720090046,145,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
BR,general_lonely,DK/NR,0.0029841869369388496,0.0011523068603533772,0.001398835245228544,0.006354842324906733,8,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
EG,general_lonely,Not at all lonely,0.5166076928055793,0.01315705943061908,0.4907923640033546,0.5423346840568561,1082,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
EG,general_lonely,A little lonely,0.18288895073096995,0.010307481321842357,0.1635405953059298,0.203968206867837,345,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
EG,general_lonely,Fairly lonely,0.23187264011099631,0.012188566864379509,0.2088404102981069,0.2566210874337451,441,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
EG,general_lonely,Very lonely,0.06797130700813932,0.00771321134892086,0.05432208636644326,0.08474276890152581,133,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
EG,general_lonely,DK/NR,6.594093521484281e-4,6.602294127784731e-4,9.2546423686013e-5,0.004682147682375809,1,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
FR,general_lonely,Not at all lonely,0.6255560588611422,0.013554509203469286,0.5986281958403773,0.6517283796372909,1273,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
FR,general_lonely,A little lonely,0.23326751992114364,0.011956606317296803,0.21065000347807603,0.2575212144989668,440,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
FR,general_lonely,Fairly lonely,0.10223900849160267,0.008503220687966474,0.08673160294180991,0.12015431239313108,207,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
FR,general_lonely,Very lonely,0.038598481323862906,0.005437679240168744,0.02924247314565193,0.050791286181156046,79,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
FR,general_lonely,DK/NR,3.3893145753358713e-4,3.3903367290113984e-4,4.767299978978796e-5,0.0024053546842742594,1,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
ID,general_lonely,Not at all lonely,0.7000078520756811,0.01303588741014619,0.6738469162060313,0.7249269911015017,1456,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
ID,general_lonely,A little lonely,0.19079838258000165,0.010001286337752305,0.17195636450921334,0.21117846181272237,406,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
ID,general_lonely,Fairly lonely,0.07530766592367079,0.007470437648739607,0.061908285769887654,0.09132486249511768,148,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
ID,general_lonely,Very lonely,0.023665295334804413,0.004512233838172351,0.016259953793541233,0.034325602177198794,46,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
ID,general_lonely,DK/NR,0.010220804088941717,0.004121571070919841,0.004624346931542294,0.02243750797396416,21,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
IN,general_lonely,Not at all lonely,0.40085161297021965,0.015891730044424773,0.3701345235572215,0.4323680105521417,818,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
IN,general_lonely,A little lonely,0.260869825924031,0.012804005210176732,0.23655913019277727,0.2867405235387929,519,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
IN,general_lonely,Fairly lonely,0.2069888998160253,0.011647394151525312,0.18508279119449259,0.23075360632023934,415,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
IN,general_lonely,Very lonely,0.12729613557295577,0.008608011716760913,0.11135366058746232,0.14514827857259574,243,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
IN,general_lonely,DK/NR,0.003993525722165368,0.0027350317303013465,0.0010403872266704182,0.015201586267991563,5,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
MX,general_lonely,Not at all lonely,0.5900109990572062,0.014095538898975383,0.5621206862896028,0.6173341878187842,1155,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
MX,general_lonely,A little lonely,0.2500043839012336,0.011206097276682482,0.2286840770685258,0.2726098688394129,519,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
MX,general_lonely,Fairly lonely,0.12242196773062573,0.00966664144881181,0.1046972889369427,0.14266916863211107,236,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
MX,general_lonely,Very lonely,0.036364119072746184,0.004598873533279833,0.028348521665777737,0.04653759037473852,87,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
MX,general_lonely,DK/NR,0.001198530241475681,6.682918157937078e-4,4.0149475669136014e-4,0.0035721626060359933,4,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
US,general_lonely,Not at all lonely,0.577686144240452,0.012971288551303535,0.5520721233961211,0.6028890395281202,1255,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
US,general_lonely,A little lonely,0.24456445622686956,0.011410912801791618,0.22289056197538645,0.26762011844974964,450,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
US,general_lonely,Fairly lonely,0.10623941352297264,0.008380230087985501,0.09089399599073666,0.12382269697269042,188,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
US,general_lonely,Very lonely,0.06731168183054391,0.007204909823258823,0.054489019871818076,0.08288731823720549,113,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
US,general_lonely,DK/NR,0.004198304233231687,0.0014550865725614962,0.002126372926524762,0.008272382532760145,10,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",NA
BR,loneliness_scale_neg_1,Never,0.39022782213003754,0.013472447349327317,0.36415990928793274,0.41693815944097895,771,How often do you feel that you lack companionship?,NA
BR,loneliness_scale_neg_1,Rarely,0.21230822974587923,0.01160624042905965,0.19044411688198373,0.23595087696922368,400,How often do you feel that you lack companionship?,NA
BR,loneliness_scale_neg_1,Sometimes,0.28885313888038433,0.012081924171910778,0.26575487331711084,0.31310290780857175,583,How often do you feel that you lack companionship?,NA
BR,loneliness_scale_neg_1,Always,0.10738787362264351,0.008075140841340197,0.09255247975007208,0.12427559042805428,242,How often do you feel that you lack companionship?,NA
BR,loneliness_scale_neg_1,DK/NR,0.0012229356850213626,7.218234601748418e-4,3.8424826351420325e-4,0.0038850868673465447,4,How often do you feel that you lack companionship?,NA
EG,loneliness_scale_neg_1,Never,0.09125015151765425,0.006667930063718457,0.07899306290079222,0.10519190880059993,197,How often do you feel that you lack companionship?,NA
EG,loneliness_scale_neg_1,Rarely,0.18785926148660725,0.00996114954755694,0.16910562029601267,0.20817160109272556,372,How often do you feel that you lack companionship?,NA
EG,loneliness_scale_neg_1,Sometimes,0.38252688709560156,0.013016247348375877,0.35735292127676943,0.4083474073291293,767,How often do you feel that you lack companionship?,NA
EG,loneliness_scale_neg_1,Always,0.33608503386460803,0.01156060005568508,0.31381084638617596,0.35911282163995756,662,How often do you feel that you lack companionship?,NA
EG,loneliness_scale_neg_1,DK/NR,0.0022786677106082453,0.0011303313813417568,8.609672816402308e-4,0.006016748042304699,4,How often do you feel that you lack companionship?,NA
FR,loneliness_scale_neg_1,Never,0.437033694483789,0.013829686378092662,0.4101348985301314,0.46430800563246416,855,How often do you feel that you lack companionship?,NA
FR,loneliness_scale_neg_1,Rarely,0.27591690895311277,0.012498159131024986,0.25209907700336137,0.30107912535153464,551,How often do you feel that you lack companionship?,NA
FR,loneliness_scale_neg_1,Sometimes,0.23960442331894347,0.011656664391958447,0.21750274497715888,0.2631965668636398,505,How often do you feel that you lack companionship?,NA
FR,loneliness_scale_neg_1,Always,0.047444973355730787,0.00598699147748914,0.036994604196730174,0.0606614450188381,89,How often do you feel that you lack companionship?,NA
ID,loneliness_scale_neg_1,Never,0.3353327805286075,0.014404293646463609,0.30770693138774213,0.3641343066468158,736,How often do you feel that you lack companionship?,NA
ID,loneliness_scale_neg_1,Rarely,0.2213156287459172,0.011055208893279815,0.20040276166181578,0.24374558486277426,446,How often do you feel that you lack companionship?,NA
ID,loneliness_scale_neg_1,Sometimes,0.249771142994447,0.011665064522879317,0.22760653707474773,0.273330356979503,519,How often do you feel that you lack companionship?,NA
ID,loneliness_scale_neg_1,Always,0.18856559377802848,0.010325052584462934,0.16915182299144427,0.2096452875050429,362,How often do you feel that you lack companionship?,NA
ID,loneliness_scale_neg_1,DK/NR,0.0050148539680142145,0.0019418553572514393,0.002344622670367056,0.010693547838825541,14,How often do you feel that you lack companionship?,NA
IN,loneliness_scale_neg_1,Never,0.34072265849147076,0.013902942147823715,0.31401530381851334,0.3684813570746059,673,How often do you feel that you lack companionship?,NA
IN,loneliness_scale_neg_1,Rarely,0.18528572800342832,0.01165388954333401,0.16351707701903678,0.2092275167153582,378,How often do you feel that you lack companionship?,NA
IN,loneliness_scale_neg_1,Sometimes,0.316807155485701,0.01309367152495935,0.29171207172394203,0.3430155844676882,640,How often do you feel that you lack companionship?,NA
IN,loneliness_scale_neg_1,Always,0.1538137313854429,0.011193803341978654,0.1331252073633634,0.17706069055474824,304,How often do you feel that you lack companionship?,NA
IN,loneliness_scale_neg_1,DK/NR,0.0033707271731647733,0.00155958396686798,0.0013593386056211041,0.008333494723827826,5,How often do you feel that you lack companionship?,NA
MX,loneliness_scale_neg_1,Never,0.38717742418094114,0.012938046570768752,0.3621386303099936,0.41282698361053266,759,How often do you feel that you lack companionship?,NA
MX,loneliness_scale_neg_1,Rarely,0.25718027796846843,0.011885488375673442,0.23457662554379852,0.28116193501632214,496,How often do you feel that you lack companionship?,NA
MX,loneliness_scale_neg_1,Sometimes,0.24960536693138624,0.010455068302451525,0.22967455328212852,0.2706580542142946,538,How often do you feel that you lack companionship?,NA
MX,loneliness_scale_neg_1,Always,0.10415296122751046,0.007798524828516223,0.08982555825297683,0.12046316338654992,205,How often do you feel that you lack companionship?,NA
MX,loneliness_scale_neg_1,DK/NR,0.0018839697540600747,0.001149205379852827,5.692541043249514e-4,0.0062161894757434884,3,How often do you feel that you lack companionship?,NA
US,loneliness_scale_neg_1,Never,0.3753637402816893,0.01230871238285165,0.3515592616225555,0.3997862989979809,803,How often do you feel that you lack companionship?,NA
US,loneliness_scale_neg_1,Rarely,0.2086274199048623,0.010482086817666433,0.18882147747982278,0.22992200692075607,422,How often do you feel that you lack companionship?,NA
US,loneliness_scale_neg_1,Sometimes,0.29980223857752253,0.012044694733592272,0.276732833319932,0.3239334599836724,582,How often do you feel that you lack companionship?,NA
US,loneliness_scale_neg_1,Always,0.11012076646926598,0.008568270399868082,0.0944112871390624,0.12807452552048623,196,How often do you feel that you lack companionship?,NA
US,loneliness_scale_neg_1,DK/NR,0.006085834783321664,0.0018231766470023561,0.0033796614015189352,0.010935128408469665,13,How often do you feel that you lack companionship?,NA
BR,loneliness_scale_neg_2,Never,0.4659720484061818,0.012368405285524848,0.4418233635227977,0.49028128195408804,948,How often do you feel left out?,NA
BR,loneliness_scale_neg_2,Rarely,0.2219430616462019,0.010258606855523857,0.20248355751570193,0.24270357583644553,440,How often do you feel left out?,NA
BR,loneliness_scale_neg_2,Sometimes,0.2281788879011018,0.010236298579399186,0.2087342613602679,0.24886517602201882,439,How often do you feel left out?,NA
BR,loneliness_scale_neg_2,Always,0.07674070313643326,0.006284518348793013,0.0652916167785305,0.09000410492995922,152,How often do you feel left out?,NA
BR,loneliness_scale_neg_2,DK/NR,0.007165298988905825,0.0019639445217841745,0.004182981770999917,0.012247750691145249,21,How often do you feel left out?,NA
EG,loneliness_scale_neg_2,Never,0.36300004649720496,0.012209788936774728,0.33941863755879564,0.38725933436006765,734,How often do you feel left out?,NA
EG,loneliness_scale_neg_2,Rarely,0.30537622789858404,0.011875419879361094,0.28260413621680747,0.3291414011482218,621,How often do you feel left out?,NA
EG,loneliness_scale_neg_2,Sometimes,0.25637992435059376,0.011778422890594272,0.23397712392691206,0.28014328615232836,500,How often do you feel left out?,NA
EG,loneliness_scale_neg_2,Always,0.0735062225110378,0.006982702793472522,0.06093672619456891,0.0884243079703079,144,How often do you feel left out?,NA
EG,loneliness_scale_neg_2,DK/NR,0.0017375787562457006,0.001087145704444704,5.091499704730067e-4,0.005912312019193323,3,How often do you feel left out?,NA
FR,loneliness_scale_neg_2,Never,0.4590979743292543,0.013861124976404569,0.4320716150978706,0.48636711180959674,923,How often do you feel left out?,NA
FR,loneliness_scale_neg_2,Rarely,0.27913108981333495,0.012597666350107851,0.2551149747528,0.3044838888657409,549,How often do you feel left out?,NA
FR,loneliness_scale_neg_2,Sometimes,0.21632761917048296,0.011350206170617943,0.19490431711962114,0.2394054812250497,440,How often do you feel left out?,NA
FR,loneliness_scale_neg_2,Always,0.03729993267288501,0.004933438323742421,0.02874580728776527,0.04827306229805602,77,How often do you feel left out?,NA
FR,loneliness_scale_neg_2,DK/NR,0.008143384137898982,0.002745717790420919,0.004198528167735552,0.015736178354145158,11,How often do you feel left out?,NA
